Date,Close/Last,Volume,Open,High,Low
03/18/2025,$119.72,3138784,$120.56,$120.6476,$116.36
03/17/2025,$121.37,3444925,$118.06,$123.70,$118.0549
03/14/2025,$117.94,4573896,$115.79,$118.62,$115.21
03/13/2025,$112.05,4480686,$114.00,$114.78,$109.90
03/12/2025,$112.70,5291214,$116.00,$117.98,$112.00
03/11/2025,$111.49,8069201,$116.00,$118.50,$110.25
03/10/2025,$116.38,7267413,$120.50,$121.80,$114.38
03/07/2025,$125.55,6537634,$118.52,$127.5811,$117.52
03/06/2025,$117.92,5014553,$120.70,$123.40,$117.75
03/05/2025,$124.78,4601581,$124.625,$125.49,$120.36
03/04/2025,$122.49,8075722,$121.91,$125.91,$117.89
03/03/2025,$121.10,7356741,$133.00,$133.94,$120.0701
02/28/2025,$131.69,4253846,$129.30,$133.98,$127.43
02/27/2025,$130.34,4799626,$142.01,$144.41,$130.145
02/26/2025,$138.97,3263180,$139.43,$141.57,$137.91
02/25/2025,$136.70,5786313,$139.32,$139.50,$133.16
02/24/2025,$140.53,3829698,$145.055,$145.6117,$138.05
02/21/2025,$144.84,4916989,$151.245,$151.99,$143.80
02/20/2025,$150.85,3865999,$153.20,$154.05,$147.53
02/19/2025,$154.36,5228795,$157.56,$160.9357,$152.29
02/18/2025,$160.32,4809710,$160.50,$161.15,$155.65
02/14/2025,$159.54,6084844,$160.165,$161.3442,$156.12
02/13/2025,$164.83,11433800,$154.97,$168.39,$153.80
02/12/2025,$155.41,3470140,$155.00,$157.90,$154.01
02/11/2025,$157.74,3108636,$160.07,$163.11,$157.2875
02/10/2025,$160.84,3443462,$162.955,$163.3999,$158.5801
02/07/2025,$162.51,5915058,$166.50,$170.7364,$160.8695
02/06/2025,$167.47,11885900,$162.00,$170.45,$158.70
02/05/2025,$173.26,13412830,$162.94,$173.95,$162.50
02/04/2025,$162.20,5086049,$157.50,$163.65,$155.80
02/03/2025,$155.65,4104706,$153.55,$159.36,$152.00
01/31/2025,$159.55,8015390,$154.00,$162.96,$153.55
01/30/2025,$153.23,4531885,$150.30,$154.88,$149.50
01/29/2025,$147.60,2814289,$150.66,$151.75,$145.21
01/28/2025,$149.47,5572268,$148.00,$150.50,$145.96
01/27/2025,$145.96,11715380,$148.90,$152.27,$142.3176
01/24/2025,$162.52,6532374,$166.50,$168.7263,$162.45
01/23/2025,$166.56,16494390,$170.39,$170.39,$162.50
01/22/2025,$179.93,27244370,$160.37,$182.88,$159.95
01/21/2025,$155.20,6807499,$149.85,$156.9711,$147.01
01/17/2025,$149.26,4217349,$149.20,$151.60,$147.77
01/16/2025,$147.52,4353352,$148.24,$150.01,$144.23
01/15/2025,$147.40,4849822,$143.00,$148.25,$142.8252
01/14/2025,$140.06,3240342,$139.785,$143.1299,$138.05
